GendreauDumasExtended/n60w200.002.txt |   sequence |       open | 2147483.65 |       0.01 | 19 18 21 3 29 27 25 6 14 8 42 39 31 56 10 15 55 48 35 22 23 53 52 7 2 46 16 49 59 26 11 37 51 32 38 47 1 58 60 17 57 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: -1520404466039182260 | 0
GendreauDumasExtended/n60w200.003.txt |   sequence |       open | 2147483.65 |       0.00 | 9 55 3 1 40 44 54 8 21 28 41 38 6 48 19 35 14 17 11 59 50 36 5 26 4 52 58 39 56 15 42 47 10 57 7 2 18 25 13 49 34 23 60 53 27 37 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: -6350642856772221999 | 0
GendreauDumasExtended/n60w200.004.txt |   sequence |       open | 2147483.65 |       0.01 | 10 18 7 24 16 31 49 47 30 11 19 27 42 28 36 46 25 43 26 38 4 59 45 48 57 8 56 20 53 9 40 34 54 32 44 21 33 2 13 15 37 51 29 6 55 3 1 23 58 12 41 14 22 52 50 17 5 39 60 0 | seed: -5307473215745231633 | 0
GendreauDumasExtended/n60w200.005.txt |   sequence |       open | 2147483.65 |       0.01 | 23 4 24 53 31 55 54 19 5 58 16 18 32 37 8 56 38 1 9 44 10 26 7 13 41 34 21 3 30 14 2 51 25 45 15 52 17 42 59 43 22 60 11 39 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: 4486669016255882341 | 0
GendreauDumasExtended/n80w100.001.txt |   sequence |       open | 2147483.65 |       0.01 | 61 7 15 10 37 22 54 24 23 67 31 32 29 46 73 18 62 58 30 74 51 12 75 16 1 36 68 49 25 45 71 9 70 43 28 59 33 35 53 44 20 41 40 56 13 79 57 17 66 69 52 38 80 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: -1967686723648803576 | 0
GendreauDumasExtended/n80w100.002.txt |   sequence |       open | 2147483.65 |       0.01 | 7 39 35 32 46 44 56 47 48 40 58 70 51 38 50 25 60 76 77 66 67 13 34 37 42 3 41 31 18 11 2 30 59 53 65 45 4 49 14 52 78 8 26 28 74 57 10 6 79 71 62 22 9 54 5 72 43 15 75 33 12 24 27 64 1 61 16 19 63 20 21 73 29 68 55 23 36 80 17 0 | seed: -5646375814147051996 | 0
GendreauDumasExtended/n80w100.003.txt |   sequence |       open | 2147483.65 |       0.01 | 59 54 28 5 51 18 47 64 42 32 38 52 76 7 40 67 1 78 69 9 72 74 35 71 2 3 23 61 45 66 14 60 31 57 75 30 13 43 46 49 26 63 29 70 6 53 20 58 55 16 80 4 68 8 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | seed: -116968405175871466 | 0
GendreauDumasExtended/n80w100.004.txt |   sequence |       open | 2147483.65 |       0.01 | 60 8 31 44 51 13 48 54 10 2 77 45 35 20 12 73 56 33 18 16 66 53 28 11 15 6 3 76 1 68 50 49 27 17 79 4 40 39 67 21 55 52 63 59 64 74 70 25 9 38 42 36 30 37 7 69 32 19 78 47 26 72 43 57 46 80 71 23 0 0 0 0 0 0 0 0 0 0 0 0 | seed: -8279516987691569394 | 0
GendreauDumasExtended/n80w100.005.txt |   sequence |       open | 2147483.65 |       0.01 | 57 45 50 36 1 25 19 33 49 39 72 11 20 76 14 64 16 74 46 59 18 60 44 8 47 61 42 52 5 54 17 31 21 48 12 62 9 24 6 7 53 32 34 22 78 13 4 67 75 51 3 63 2 58 40 71 28 70 37 68 26 29 55 10 65 41 80 35 56 0 0 0 0 0 0 0 0 0 0 0 | seed: -6664206954742422132 | 0
GendreauDumasExtended/n80w120.001.txt |   sequence |       open | 2147483.65 |       0.01 | 17 58 31 34 37 39 53 77 19 9 8 3 33 2 38 50 79 64 6 1 48 74 54 14 15 5 49 7 66 73 55 44 22 30 71 24 56 76 35 60 62 47 25 20 32 21 61 13 18 4 65 52 41 46 16 28 67 57 40 78 43 59 68 23 45 51 12 72 36 27 70 26 11 42 69 10 80 75 63 0 | seed: -8148574463387779304 | 0
