SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 2113443310862809677 | 15
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 2984322550335075240 | 58
SolomonPesant/rc201.0 |   sequence | open (improved init) |     738.65 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 22 4 17 14 10 7 16 25 | seed: -991944692579642312 | 57
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 8216321081611058909 | 0
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 1222505296606483285 | 9
SolomonPesant/rc201.0 |   sequence | open (improved init) |     667.91 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 10 7 14 16 25 | seed: -6530067415265692491 | 43
SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -7018335217414958435 | 3
SolomonPesant/rc201.0 |   sequence | open (improved init) |     694.79 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 22 4 17 14 10 7 16 25 | seed: 6648537566385728224 | 8
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 4235048974884792795 | 62
SolomonPesant/rc201.0 |   sequence | open (improved init) |     696.74 |       0.03 | 2 11 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -2149245382038627543 | 51
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4507118732197602803 | 66
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 1951930844128529449 | 32
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -8082445345883417813 | 56
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -834425036303118695 | 45
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 7123497999733606906 | 14
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: 1630481158507890893 | 18
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: -8641843349184104213 | 17
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 3588224149982554296 | 72
SolomonPesant/rc201.0 |   sequence | open (improved init) |     726.79 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 25 16 | seed: -8409956877722632894 | 4
SolomonPesant/rc201.0 |   sequence | open (improved init) |     701.94 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: -5618229293790645161 | 63
SolomonPesant/rc201.0 |   sequence | open (improved init) |     679.27 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 22 4 17 7 10 14 16 25 | seed: -6040708480676929972 | 75
SolomonPesant/rc201.0 |   sequence | open (improved init) |     712.59 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 24 13 20 3 12 22 4 7 17 14 10 16 25 | seed: -6721880968512410587 | 10
SolomonPesant/rc201.0 |   sequence | open (improved init) |     673.14 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 10 14 16 25 | seed: -5277811620010150878 | 7
SolomonPesant/rc201.0 |   sequence | open (improved init) |     706.14 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 22 4 7 17 14 10 25 16 | seed: -1043217533771600198 | 77
SolomonPesant/rc201.0 |   sequence | open (improved init) |     718.31 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 22 4 17 14 10 7 16 25 | seed: 5517347307121408864 | 74
SolomonPesant/rc201.0 |   sequence | open (improved init) |     726.11 |       0.03 | 11 2 1 23 15 19 6 5 8 9 18 24 20 21 3 12 13 4 22 17 14 10 7 16 25 | seed: 6640320196914687797 | 12
SolomonPesant/rc201.0 |   sequence | open (improved init) |     698.11 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 6074421736862346390 | 68
SolomonPesant/rc201.0 |   sequence | open (improved init) |     699.89 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 7 10 16 25 | seed: -5843780894040116940 | 71
SolomonPesant/rc201.0 |   sequence | open (improved init) |     675.53 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 13 24 12 3 4 22 17 14 10 7 16 25 | seed: -625067664274903754 | 76
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.32 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 24 20 21 3 12 13 4 22 17 14 10 7 16 25 | seed: 4016035934563789346 | 53
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.42 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 24 12 20 3 13 4 22 17 14 10 7 16 25 | seed: 5944527084924078365 | 47
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -4907589669571953013 | 69
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -7187489675738163083 | 73
SolomonPesant/rc201.0 |   sequence | open (improved init) |     704.49 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 10 7 14 16 25 | seed: -8736386566526974145 | 67
SolomonPesant/rc201.0 |   sequence | open (improved init) |     728.75 |       0.03 | 11 2 1 15 19 23 6 5 8 9 18 20 24 21 3 12 13 4 22 17 14 10 7 16 25 | seed: -8049085146501384314 | 65
SolomonPesant/rc201.0 |   sequence | open (improved init) |     718.31 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 22 4 17 14 10 7 16 25 | seed: 2076562711251658493 | 83
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 6028980506994606198 | 99
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4728037869567977912 | 91
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 5619065628824858746 | 89
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 2504597011777863275 | 94
SolomonPesant/rc201.0 |   sequence | open (improved init) |     727.54 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 14 7 10 16 25 | seed: 5492773981270239075 | 90
SolomonPesant/rc201.0 |   sequence | open (improved init) |     724.73 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 14 10 7 16 25 | seed: -5744936502220167147 | 82
SolomonPesant/rc201.0 |   sequence | open (improved init) |     706.14 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: 5526858522737763227 | 92
SolomonPesant/rc201.0 |   sequence | open (improved init) |     704.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 10 7 14 16 25 | seed: 4487140154389476259 | 84
SolomonPesant/rc201.0 |   sequence | open (improved init) |     714.36 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: -6099024403641155788 | 86
SolomonPesant/rc201.0 |   sequence | open (improved init) |     710.15 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 7660425614322521063 | 81
SolomonPesant/rc201.0 |   sequence | open (improved init) |     699.89 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 7 10 16 25 | seed: 8767555100436213275 | 93
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: -7390041982358450951 | 80
SolomonPesant/rc201.0 |   sequence | open (improved init) |     701.94 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 7 17 14 10 16 25 | seed: 3614829407811460546 | 79
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -4549736421464125025 | 85
SolomonPesant/rc201.0 |   sequence | open (improved init) |     684.84 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 10 7 17 14 16 25 | seed: -2046461549945919050 | 87
SolomonPesant/rc201.0 |   sequence | open (improved init) |     694.68 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 20 12 13 4 22 17 10 7 14 25 16 | seed: 3702846202634596173 | 88
SolomonPesant/rc201.0 |   sequence | open (improved init) |     730.49 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 12 24 20 21 3 13 4 22 17 14 10 7 16 25 | seed: 20679212329501894 | 95
SolomonPesant/rc201.0 |   sequence | open (improved init) |     727.13 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 24 20 3 12 13 4 22 17 14 10 7 16 25 | seed: 4078026987284773380 | 97
SolomonPesant/rc201.0 |   sequence | open (improved init) |     697.08 |       0.00 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: -1844719043698628231 | 98
SolomonPesant/rc201.0 |   sequence | open (improved init) |     693.90 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: 4258476894726199509 | 78
SolomonPesant/rc201.0 |   sequence | open (improved init) |     682.98 |       0.00 | 11 2 1 23 15 19 6 5 8 9 18 21 3 24 13 20 12 4 22 7 10 17 14 16 25 | seed: 1522714022910110437 | 96
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -7814401245450695841 | 31
SolomonPesant/rc201.1 |   sequence | open (improved init) |     776.28 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 9 10 15 8 26 27 22 | seed: -2312060811535748538 | 3
SolomonPesant/rc201.1 |   sequence | open (improved init) |     739.23 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 22 27 | seed: -2588225924102406718 | 42
SolomonPesant/rc201.1 |   sequence | open (improved init) |     737.88 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 16 20 28 15 9 10 8 26 27 22 | seed: 3928261889544051329 | 23
SolomonPesant/rc201.1 |   sequence | open (improved init) |     726.86 |       0.01 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 8274627870855975771 | 52
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 5624734123156086468 | 25
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -2384673445109010290 | 22
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -1132325628570876261 | 21
SolomonPesant/rc201.1 |   sequence | open (improved init) |     756.40 |       0.01 | 19 17 1 11 23 18 14 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 2176579325658731140 | 45
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 1402727533730870203 | 20
SolomonPesant/rc201.1 |   sequence | open (improved init) |     728.76 |       0.01 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 16 20 28 15 9 10 8 26 27 22 | seed: -3678813571507690604 | 24
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 3968031704949156250 | 19
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 3124989221040158745 | 35
SolomonPesant/rc201.1 |   sequence | open (improved init) |     731.96 |       0.01 | 19 17 1 11 14 23 18 7 3 5 21 2 6 24 25 13 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -4139802995550098696 | 51
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 2704930833322915609 | 32
SolomonPesant/rc201.1 |   sequence | open (improved init) |     707.31 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 25 24 12 6 4 16 20 28 15 9 10 8 26 27 22 | seed: -1099042394912627843 | 27
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 6796968711224645513 | 46
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 554036831495824121 | 43
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 21864025109194583 | 37
SolomonPesant/rc201.1 |   sequence | open (improved init) |     700.10 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 21 25 24 13 6 12 4 16 20 28 15 9 10 8 26 27 22 | seed: -6577549220732121025 | 53
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 8859170950554413294 | 44
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 8568345190220226122 | 55
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 6838943750413404919 | 28
SolomonPesant/rc201.1 |   sequence | open (improved init) |     737.88 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 16 20 28 15 9 10 8 26 27 22 | seed: 6930325793406591119 | 48
SolomonPesant/rc201.1 |   sequence | open (improved init) |     726.86 |       0.01 | 19 17 1 11 14 23 18 3 7 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 9121893654223319305 | 33
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 329675142708692333 | 9
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: 5498141730664884370 | 38
SolomonPesant/rc201.1 |   sequence | open (improved init) |     739.23 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 22 27 | seed: -2911548626506904222 | 41
SolomonPesant/rc201.1 |   sequence | open (improved init) |     735.98 |       0.01 | 19 17 1 11 14 23 18 7 3 5 2 13 21 6 25 24 12 4 20 16 28 15 9 10 8 26 27 22 | seed: -8912436391765898018 | 47
