SolomonPesant/rc201.0 |   sequence |       open |     692.88 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 6830192711255588987 | 14
SolomonPesant/rc201.0 |   sequence |       open |     697.08 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 8080202759133427038 | 38
SolomonPesant/rc201.0 |   sequence |       open |     697.08 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 7221628209593926717 | 65
SolomonPesant/rc201.0 |   sequence |       open |     710.15 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 12 3 13 4 22 17 14 10 7 16 25 | seed: 5401097001732484523 | 56
SolomonPesant/rc201.0 |   sequence |       open |     667.91 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 10 7 14 16 25 | seed: 1501569540226364500 | 57
SolomonPesant/rc201.0 |   sequence |       open |     695.84 |       0.01 | 11 2 1 23 15 19 5 6 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -3376363284859793600 | 22
SolomonPesant/rc201.0 |   sequence |       open |     693.38 |       0.01 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 25 16 | seed: 5401401807325051231 | 47
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.02 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -96723476261667518 | 17
SolomonPesant/rc201.0 |   sequence |       open |     698.11 |       0.03 | 11 2 1 23 15 19 6 9 8 5 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -2690932100652744286 | 4
SolomonPesant/rc201.0 |   sequence |       open |     730.42 |       0.01 | 11 2 1 23 15 19 6 5 8 9 18 21 24 12 20 3 13 4 22 17 14 10 7 16 25 | seed: 7671091851842184749 | 53
SolomonPesant/rc201.0 |   sequence |       open |     697.08 |       0.01 | 11 2 1 23 15 19 6 9 8 5 18 21 24 13 20 3 12 4 22 17 14 10 7 16 25 | seed: 1307671355250368944 | 45
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -4823949703563291532 | 72
SolomonPesant/rc201.0 |   sequence |       open |     693.90 |       0.02 | 11 2 1 23 15 19 6 5 8 9 18 21 20 24 13 3 12 4 22 17 14 10 7 16 25 | seed: -279453080333423257 | 67
SolomonPesant/rc201.0 |   sequence |       open |     723.48 |       0.03 | 11 2 1 15 23 19 6 5 8 9 18 21 24 20 3 12 13 4 22 17 14 10 7 16 25 | seed: 563584570293738975 | 24
