SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -7752957297698689486 | 45
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     499.87 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 2 15 | seed: -6163622230446489338 | 62
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     495.26 |       0.00 | 14 18 13 9 5 8 4 6 7 16 17 1 3 11 19 10 12 2 15 | seed: 3274394578787523150 | 40
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 9050124853813490371 | 58
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.67 |       0.00 | 14 18 13 9 8 5 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 63148300123366686 | 66
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: 718408877219659752 | 34
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: -7377622413284213021 | 36
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 2344868987673359824 | 77
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     488.95 |       0.00 | 14 18 13 9 5 4 8 6 7 16 17 1 12 11 19 3 10 2 15 | seed: -4881822312764636527 | 71
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -5130921906881764551 | 2
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 3025646627552168218 | 16
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.01 |       0.00 | 14 18 13 9 5 8 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 3131120286195315818 | 11
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     499.87 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 3 19 10 12 2 15 | seed: -4984019657944377473 | 60
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     496.16 |       0.00 | 14 18 13 9 5 4 6 8 7 16 17 11 1 12 19 3 10 2 15 | seed: 75008976729620884 | 17
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 1600519875708409210 | 7
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 4865261979667069275 | 20
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     455.43 |       0.00 | 14 18 13 9 5 4 8 6 7 16 19 17 11 1 12 3 10 2 15 | seed: 7765561737971649376 | 33
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     459.67 |       0.00 | 14 18 13 9 8 5 4 6 7 16 19 17 11 1 12 3 10 2 15 | seed: -6658364915959707511 | 25
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: -1741553837745938350 | 37
SolomonPotvinBengio/rc_201.1.txt |   sequence |       open |     463.64 |       0.00 | 14 18 13 9 4 8 5 7 6 16 19 17 11 1 12 3 10 2 15 | seed: 9013717189149350991 | 76
